lms_login_frequency,assignment_delay_days,attendance_percentage,sentiment_score,activity_irregularity_score,dropout_risk_score,burnout_risk_level
7,1.5,80.6,0.36,5.7,51.4,Medium
10,0.4,80.2,-0.0,3.1,25.8,Low
18,0.2,83.1,0.51,1.7,15.3,Low
11,0.3,92.9,0.73,1.7,18.5,Low
10,3.1,71.6,0.32,5.3,54.1,Medium
2,0.4,63.0,-0.85,7.9,81.2,High
8,0.3,59.6,-0.2,8.8,63.9,Medium
4,2.8,67.1,-0.17,3.3,63.1,Medium
4,4.1,59.6,-0.43,7.2,72.2,High
8,0.4,73.2,0.43,3.7,31.4,Low
3,1.5,56.5,-0.27,10.0,82.7,High
3,0.7,62.2,-0.48,8.8,71.6,High
18,0.0,91.5,0.5,1.5,5.4,Low
10,2.4,66.6,-0.08,5.5,62.7,Medium
10,1.1,81.6,0.13,3.6,33.9,Low
12,0.1,85.9,0.52,2.6,13.3,Low
14,0.7,91.4,0.68,3.2,13.0,Low
5,0.3,77.9,0.29,5.5,39.8,Medium
6,0.9,79.9,-0.62,6.0,51.5,Medium
19,0.7,83.9,0.87,1.4,17.2,Low
16,0.2,88.1,0.23,4.0,23.9,Low
2,6.2,57.8,-0.42,7.2,89.2,High
14,0.2,88.6,0.85,1.2,12.0,Low
13,1.6,89.1,0.87,1.0,14.2,Low
5,0.2,83.7,0.06,5.3,47.1,Medium
3,1.7,36.8,-0.34,9.2,85.3,High
12,0.1,87.4,0.44,1.7,24.2,Low
9,0.9,80.0,-1.0,6.7,51.5,Medium
7,1.9,36.9,-0.58,8.0,79.3,High
9,0.0,88.8,0.53,0.0,14.7,Low
4,7.4,53.9,-0.07,7.6,86.0,High
12,5.4,75.2,-0.27,4.4,48.5,Medium
6,4.8,72.2,-0.39,8.3,68.4,Medium
5,0.8,63.7,0.24,5.4,59.0,Medium
6,0.4,79.3,0.03,3.7,44.6,Medium
16,1.0,83.3,0.54,2.6,16.1,Low
2,1.9,61.8,-0.52,7.0,74.2,High
8,0.8,63.3,-0.13,3.0,52.3,Medium
7,0.8,89.7,0.84,2.3,28.4,Low
11,0.2,87.9,0.37,2.2,28.0,Low
6,1.0,85.7,0.3,2.9,44.9,Medium
7,0.7,77.3,0.07,4.5,46.1,Medium
16,0.1,92.1,0.54,0.0,1.6,Low
7,1.0,76.1,0.13,3.9,43.1,Medium
20,0.5,82.9,0.57,1.4,16.2,Low
8,5.5,77.4,0.09,4.1,48.0,Medium
15,0.0,88.9,0.57,2.1,16.6,Low
8,0.9,69.0,-0.2,6.1,50.2,Medium
6,2.8,85.5,0.06,4.8,63.7,Medium
0,20.8,44.4,-0.61,6.8,100.0,High
16,0.3,87.4,0.75,3.7,4.3,Low
8,0.5,83.4,-0.01,6.2,44.9,Medium
15,0.1,86.9,0.75,2.0,15.5,Low
3,0.2,42.8,-0.5,7.5,71.9,High
2,3.5,58.0,-0.88,8.8,99.9,High
18,0.7,86.8,0.05,3.2,31.0,Low
5,0.9,84.3,0.1,2.8,47.0,Medium
1,1.4,52.9,-0.21,8.4,81.0,High
9,1.5,73.2,0.29,3.8,41.8,Medium
10,2.2,77.8,-0.14,5.3,46.9,Medium
11,0.5,88.3,0.65,2.8,20.5,Low
15,0.2,98.0,0.71,3.8,5.8,Low
2,9.8,38.2,-0.59,7.9,100.0,High
3,3.2,55.1,-0.94,7.5,78.8,High
11,3.4,66.3,0.04,4.8,53.4,Medium
6,1.0,73.3,0.43,4.2,42.0,Medium
10,4.5,73.7,-0.01,4.1,51.9,Medium
4,5.4,67.8,-0.58,6.2,80.6,High
0,5.5,53.7,-0.46,8.4,98.0,High
4,0.3,38.8,-0.61,8.6,75.5,High
0,8.2,51.8,-1.0,6.6,100.0,High
6,2.8,85.3,0.58,3.1,45.3,Medium
15,0.2,88.1,0.64,2.0,8.1,Low
10,0.2,85.5,0.67,0.3,17.7,Low
1,12.3,49.8,-0.24,8.0,100.0,High
4,2.1,80.0,-0.02,5.3,49.0,Medium
15,0.0,87.1,0.48,1.2,15.8,Low
16,1.0,90.1,0.74,0.8,7.7,Low
8,0.6,62.0,-0.75,5.4,60.0,Medium
13,0.3,83.7,0.63,2.4,23.4,Low
14,0.9,78.5,0.53,4.7,26.2,Low
7,1.5,87.5,-0.51,4.8,46.0,Medium
8,2.1,60.9,0.09,5.5,59.4,Medium
6,2.2,63.3,0.56,2.6,47.1,Medium
19,0.4,85.4,0.49,2.2,14.2,Low
3,3.2,47.1,-0.58,9.1,82.5,High
17,0.3,87.2,0.48,1.3,10.3,Low
4,2.1,85.2,-0.29,2.6,54.2,Medium
2,2.9,61.7,-0.95,6.5,90.9,High
9,1.9,83.2,-0.16,1.3,40.2,Medium
2,10.3,35.1,-0.7,7.8,100.0,High
10,3.9,71.8,0.15,5.8,63.0,Medium
11,0.2,84.4,0.12,3.5,26.7,Low
19,0.2,100.0,0.66,1.2,13.0,Low
6,0.5,84.9,0.0,6.5,51.9,Medium
13,0.3,90.7,0.61,1.3,19.2,Low
19,1.5,98.7,0.4,4.2,16.4,Low
2,3.8,61.0,-0.26,7.2,81.6,High
7,1.6,78.6,-0.19,7.5,59.4,Medium
4,0.6,74.9,-0.38,9.6,64.0,Medium
8,0.0,67.0,0.16,6.3,49.1,Medium
2,4.9,43.9,-0.69,7.1,91.5,High
10,2.3,92.4,0.06,4.8,43.8,Medium
10,0.0,59.3,-0.18,2.5,41.0,Medium
6,0.3,81.6,0.25,6.4,52.7,Medium
15,0.0,96.5,0.71,0.0,4.3,Low
4,7.3,65.0,-0.45,9.8,100.0,High
16,1.7,90.2,0.74,1.6,26.8,Low
9,0.7,84.4,0.38,1.7,32.6,Low
11,0.1,87.4,0.1,6.8,36.6,Medium
12,0.0,89.3,0.75,2.0,18.3,Low
1,6.9,53.4,-0.76,8.1,100.0,High
2,8.3,57.3,-0.72,7.4,100.0,High
3,3.1,43.3,-0.39,7.1,89.4,High
7,4.3,74.1,0.04,3.9,57.7,Medium
14,0.5,82.8,0.77,1.2,13.8,Low
4,2.0,55.3,-0.49,5.2,77.0,High
3,1.3,79.7,-0.07,5.1,55.1,Medium
3,6.5,50.1,-0.68,7.3,93.1,High
3,0.1,53.4,-0.78,8.1,69.1,Medium
4,2.4,70.8,-0.68,9.1,75.1,High
23,0.4,83.3,0.52,4.2,16.4,Low
11,0.0,83.7,-0.32,4.0,40.5,Medium
3,0.7,40.2,-0.19,6.7,68.5,Medium
2,5.6,75.7,0.29,8.1,78.7,High
14,0.0,89.7,0.47,3.0,18.0,Low
6,1.4,72.9,0.41,6.8,52.4,Medium
4,1.2,63.3,-0.69,8.3,72.0,High
6,0.6,69.0,0.11,4.7,45.8,Medium
9,3.4,79.0,0.42,3.2,38.6,Medium
10,0.4,88.1,0.16,3.4,24.4,Low
9,1.8,91.3,0.11,4.6,40.3,Medium
0,10.6,47.3,-0.62,10.0,100.0,High
17,1.2,84.0,0.61,2.1,19.0,Low
10,3.6,65.5,0.2,3.6,44.1,Medium
1,1.2,63.8,-0.53,8.3,75.2,High
3,2.3,46.9,-0.24,7.9,80.5,High
14,1.0,70.9,0.19,7.1,39.5,Medium
3,7.9,52.2,-0.65,7.6,100.0,High
7,0.1,73.9,-0.05,5.0,47.6,Medium
19,0.2,89.4,0.28,4.1,24.4,Low
2,16.9,54.9,-0.6,7.4,95.0,High
5,1.4,68.9,0.04,7.8,50.3,Medium
1,1.2,58.1,-0.7,8.4,82.9,High
1,10.8,53.3,-0.17,8.4,100.0,High
9,3.2,64.9,0.13,7.6,59.4,Medium
9,1.5,82.0,-0.43,5.5,44.9,Medium
1,0.7,62.4,-0.71,8.4,79.5,High
7,2.4,64.7,0.44,5.7,53.2,Medium
2,8.7,49.5,-0.35,7.2,100.0,High
3,2.7,31.7,-0.61,7.5,89.8,High
3,8.1,36.0,-0.54,6.6,100.0,High
4,0.3,68.9,-0.14,1.6,51.6,Medium
8,0.1,72.0,-0.38,4.7,51.7,Medium
17,0.1,89.2,0.53,1.7,11.0,Low
6,0.7,79.9,0.12,4.6,49.9,Medium
16,0.1,93.5,1.0,1.8,0.0,Low
10,1.1,84.8,-0.36,5.7,37.5,Medium
10,3.2,65.2,0.43,7.3,58.2,Medium
13,0.0,93.0,1.0,2.1,19.5,Low
7,3.8,72.3,-0.01,5.0,54.6,Medium
8,0.7,91.9,0.82,1.8,25.1,Low
12,0.1,87.4,0.4,2.3,8.6,Low
2,4.6,39.2,-0.75,8.4,100.0,High
6,3.5,74.1,0.33,6.0,64.6,Medium
19,0.8,93.5,0.59,0.0,3.7,Low
9,2.1,76.3,0.35,4.1,37.4,Medium
2,0.9,52.1,-0.43,7.7,69.8,Medium
15,0.3,92.6,0.85,0.0,0.0,Low
8,2.2,71.4,0.2,5.7,51.4,Medium
13,0.0,86.1,0.64,2.7,23.4,Low
16,1.0,90.0,0.72,2.1,17.5,Low
3,0.6,56.0,0.06,5.5,63.6,Medium
7,1.7,68.4,-0.22,3.9,52.0,Medium
5,4.0,71.8,-0.01,3.4,69.2,Medium
2,2.7,60.5,-0.78,9.1,86.9,High
3,5.9,61.5,-0.53,8.4,84.5,High
12,0.5,71.4,-0.52,5.2,44.1,Medium
5,0.6,82.5,0.23,5.0,42.0,Medium
1,8.3,54.0,-0.83,6.7,100.0,High
13,0.2,92.4,0.46,1.8,19.0,Low
11,0.3,84.7,-0.72,4.9,40.1,Medium
18,0.5,97.2,0.66,0.0,8.3,Low
15,0.4,95.2,0.72,0.9,16.0,Low
4,12.3,57.5,-0.71,6.3,90.8,High
1,4.5,61.1,-0.35,8.8,89.8,High
9,3.9,76.6,-0.15,4.3,48.0,Medium
9,2.2,81.6,-0.06,5.4,55.7,Medium
15,0.4,85.2,0.96,2.7,15.1,Low
10,0.3,84.5,0.76,2.9,26.9,Low
14,2.5,88.8,0.53,2.0,16.0,Low
7,0.5,74.3,-0.14,6.3,48.7,Medium
5,1.6,57.6,-1.0,5.9,64.8,Medium
5,1.8,68.3,-0.63,2.9,61.1,Medium
14,0.0,100.0,0.58,3.8,16.3,Low
1,8.3,40.0,-0.5,7.8,100.0,High
3,0.0,50.2,-0.36,6.4,75.6,High
5,2.1,94.5,0.13,5.1,49.8,Medium
10,2.6,70.1,0.27,3.8,53.9,Medium
13,0.9,68.3,-0.17,3.7,42.7,Medium
14,2.0,86.4,0.56,2.2,18.2,Low
6,0.2,65.0,0.13,3.9,46.4,Medium
4,3.4,64.5,-0.48,8.4,75.7,High
19,0.3,87.4,0.46,2.4,7.9,Low
14,0.1,86.6,0.83,3.1,9.1,Low
16,0.3,88.0,0.65,2.7,16.1,Low
7,0.6,79.8,0.34,2.0,30.8,Low
2,1.5,57.5,-0.5,8.9,82.7,High
2,0.7,50.7,-0.89,7.6,86.7,High
8,0.2,72.1,0.21,3.0,45.5,Medium
14,0.2,98.0,0.47,2.7,14.2,Low
5,3.8,79.0,-0.1,5.3,64.1,Medium
4,2.3,66.5,-0.02,7.9,74.1,High
15,1.0,86.4,0.94,3.9,21.1,Low
4,5.2,66.0,-0.45,5.6,70.0,Medium
8,0.6,72.8,-0.0,4.4,41.3,Medium
15,0.5,74.7,-0.26,6.9,38.3,Medium
7,1.8,74.6,0.08,4.1,46.4,Medium
17,0.5,82.1,0.41,0.0,10.6,Low
10,1.7,64.8,-0.35,6.5,57.7,Medium
6,2.2,87.3,0.18,3.9,46.3,Medium
6,2.5,64.0,0.35,6.1,64.9,Medium
2,6.0,60.6,-0.55,8.3,98.1,High
6,7.6,75.4,0.26,4.3,75.0,High
16,0.2,89.7,1.0,0.3,8.4,Low
13,0.0,88.9,0.57,2.1,15.5,Low
9,0.9,67.8,0.42,4.7,49.0,Medium
18,0.9,85.8,0.74,1.6,10.0,Low
8,1.6,74.4,-0.06,5.9,51.9,Medium
2,1.1,49.7,-0.09,4.8,71.9,High
6,1.5,85.9,-0.22,6.0,56.0,Medium
7,1.0,65.5,0.6,5.0,42.9,Medium
10,0.3,68.9,-0.13,4.1,46.0,Medium
17,1.8,76.1,0.02,6.2,32.9,Low
9,6.5,88.9,0.03,2.3,44.8,Medium
3,3.4,54.9,-0.84,7.9,86.2,High
13,0.6,73.5,-0.11,4.1,32.2,Low
2,2.8,45.7,-0.57,9.2,95.4,High
2,15.4,59.4,-0.38,8.2,100.0,High
14,0.3,99.9,0.6,2.4,18.5,Low
7,0.0,92.2,0.2,2.9,45.1,Medium
22,1.1,97.2,0.46,0.9,11.3,Low
22,0.7,89.6,0.6,2.0,9.5,Low
17,0.6,95.4,0.81,2.9,11.3,Low
6,0.7,69.3,0.34,4.0,44.4,Medium
18,0.3,99.9,0.61,3.1,13.5,Low
4,0.7,91.7,0.08,7.2,47.0,Medium
3,0.4,61.4,-0.54,7.5,72.3,High
16,0.3,90.3,0.29,3.8,30.8,Low
6,1.5,67.1,-0.51,9.7,70.3,High
10,0.7,87.7,0.4,1.2,19.0,Low
17,0.4,97.3,0.35,1.1,14.4,Low
12,1.0,79.5,-0.37,8.0,44.7,Medium
10,4.2,79.3,0.14,5.3,49.1,Medium
4,1.7,87.8,-0.34,8.6,65.6,Medium
3,10.3,53.9,-0.56,7.2,100.0,High
2,1.8,36.2,-0.15,9.1,87.1,High
21,0.3,93.2,0.61,1.2,17.1,Low
14,0.0,84.3,0.81,0.2,13.3,Low
2,3.8,55.4,-0.93,8.5,86.9,High
2,0.4,39.9,-0.31,9.8,97.9,High
6,9.3,67.4,-0.58,7.5,92.1,High
6,2.5,70.1,-0.4,4.1,59.5,Medium
9,1.0,77.9,0.25,6.9,39.6,Medium
0,6.7,68.7,-0.52,8.0,98.3,High
11,0.7,84.8,0.14,5.4,39.6,Medium
0,1.0,52.4,-0.73,7.4,84.1,High
2,3.1,27.3,-0.55,9.7,99.9,High
7,1.6,68.6,0.02,6.4,63.4,Medium
3,2.5,64.9,-0.98,8.2,84.0,High
1,11.1,53.1,-0.32,7.7,100.0,High
14,0.7,90.4,0.51,1.5,10.5,Low
3,0.8,54.7,-0.66,9.4,86.5,High
9,0.8,81.8,0.08,7.0,44.8,Medium
1,0.3,53.6,-0.66,9.3,78.0,High
5,0.3,72.1,-0.37,6.8,56.4,Medium
2,2.5,47.7,-0.92,5.8,85.1,High
4,0.1,84.5,0.2,5.0,53.3,Medium
11,0.6,91.9,0.55,2.4,26.4,Low
4,2.5,48.3,-0.07,9.0,70.4,High
20,0.2,92.4,0.43,2.3,10.3,Low
5,1.3,58.8,0.0,4.5,54.6,Medium
4,1.7,50.1,-0.7,8.1,72.6,High
5,1.5,65.7,-0.76,9.0,77.3,High
7,1.4,75.8,-0.62,5.3,63.2,Medium
11,2.7,86.0,0.04,4.0,42.6,Medium
4,1.2,81.0,-0.6,5.5,58.8,Medium
12,0.3,82.5,0.6,1.2,17.6,Low
10,0.3,73.4,0.5,6.1,42.8,Medium
5,0.1,78.6,0.26,6.3,43.3,Medium
2,13.5,47.4,-0.59,9.6,100.0,High
2,23.9,58.3,-0.9,7.8,100.0,High
5,1.0,68.6,-0.61,10.0,61.3,Medium
16,0.2,91.9,0.63,3.5,15.8,Low
3,0.6,72.2,0.0,5.2,48.7,Medium
17,1.3,86.8,0.72,2.4,12.7,Low
14,0.9,85.5,0.21,3.5,28.4,Low
11,4.4,81.6,-0.27,5.5,53.7,Medium
3,2.6,51.1,-0.2,8.1,92.6,High
8,0.3,75.6,0.36,3.0,35.5,Medium
21,0.2,81.4,0.62,2.5,10.2,Low
9,0.2,92.1,0.94,3.6,13.9,Low
2,5.6,56.2,-0.45,7.4,85.1,High
9,0.0,66.9,-0.11,6.2,49.3,Medium
14,0.0,93.2,0.55,2.2,9.5,Low
14,0.1,81.6,0.5,2.3,24.2,Low
2,2.9,52.8,-0.6,7.9,80.5,High
7,0.5,85.0,0.43,0.8,26.4,Low
4,1.4,50.4,-0.81,8.9,86.0,High
4,4.0,83.2,-0.61,7.4,73.3,High
18,0.0,89.6,0.46,1.9,6.5,Low
17,0.5,92.9,0.55,2.2,18.5,Low
2,8.5,35.6,-0.66,9.3,100.0,High
8,1.9,83.9,-0.02,5.1,45.1,Medium
8,0.5,72.8,-0.14,4.0,48.1,Medium
4,21.0,42.4,-0.11,7.7,100.0,High
3,1.3,70.3,-0.4,6.7,70.2,High
0,7.1,64.1,-0.53,8.7,85.9,High
4,1.5,55.9,-0.65,7.5,73.5,High
13,7.7,85.8,0.63,4.9,57.1,Medium
18,0.7,86.4,0.46,1.6,10.8,Low
5,0.9,55.8,-0.4,7.0,72.0,High
5,2.4,67.7,-0.01,3.8,58.9,Medium
5,3.4,84.7,-0.01,7.5,66.0,Medium
4,0.1,58.3,-0.75,9.7,86.3,High
22,0.5,93.4,0.73,3.2,13.6,Low
7,0.5,92.0,0.29,1.4,27.8,Low
21,0.3,89.9,0.17,3.3,5.8,Low
4,2.9,90.4,-0.33,6.4,66.4,Medium
15,0.2,89.6,1.0,1.8,7.4,Low
16,0.0,88.7,0.67,2.2,14.0,Low
18,0.1,83.5,0.62,0.9,6.6,Low
4,2.0,76.5,-0.3,5.2,61.6,Medium
3,5.7,73.1,-0.38,7.4,83.3,High
11,0.5,59.1,-0.08,5.7,45.5,Medium
1,6.0,61.6,-0.54,8.0,91.9,High
9,1.0,71.2,-0.56,3.3,38.8,Medium
22,0.5,87.8,0.81,0.1,1.1,Low
3,0.6,46.1,-0.55,7.0,78.6,High
15,0.2,89.1,1.0,1.6,7.5,Low
5,6.4,53.2,-0.42,7.7,90.4,High
24,0.6,80.9,1.0,2.7,9.9,Low
2,15.6,50.1,-0.94,7.9,100.0,High
20,0.4,91.3,0.49,2.5,12.1,Low
2,9.8,56.8,-0.81,8.4,100.0,High
11,3.1,68.5,-0.07,6.3,54.7,Medium
3,2.4,50.3,-0.16,9.6,89.5,High
13,0.3,90.5,0.6,0.7,14.0,Low
14,2.1,69.9,0.02,5.1,48.8,Medium
3,1.6,51.0,-0.63,8.6,74.1,High
9,1.1,64.4,0.08,8.3,49.8,Medium
8,2.1,82.2,-0.02,2.9,39.0,Medium
18,0.6,73.8,-0.01,6.1,51.6,Medium
12,2.5,61.0,-0.17,5.0,47.6,Medium
7,5.5,63.2,0.32,4.2,60.5,Medium
5,0.1,83.2,-0.19,2.7,33.3,Low
3,4.1,48.7,-1.0,7.9,100.0,High
16,0.7,91.5,0.97,2.8,13.3,Low
14,0.7,86.4,0.63,2.8,22.8,Low
2,2.8,48.6,-0.58,7.1,98.5,High
2,7.3,53.1,-0.25,7.2,91.1,High
10,6.4,73.7,-0.07,5.1,60.0,Medium
16,1.6,59.1,0.1,4.4,40.5,Medium
18,0.3,93.1,0.52,2.4,22.4,Low
16,0.3,87.2,0.48,2.7,17.9,Low
10,1.4,73.5,-0.06,3.0,36.8,Medium
12,6.4,87.6,-0.1,3.7,53.0,Medium
14,5.5,85.8,-0.71,8.1,49.0,Medium
15,1.1,100.0,0.34,2.8,10.4,Low
2,1.1,59.5,-0.4,6.8,75.3,High
3,6.6,37.2,-0.66,7.2,99.5,High
11,0.4,65.2,-0.06,7.7,55.4,Medium
8,0.7,81.2,-0.34,5.1,39.4,Medium
11,0.5,74.4,0.46,4.0,30.2,Low
2,3.7,77.1,-0.9,7.7,80.5,High
9,0.1,88.0,-0.22,6.0,38.1,Medium
16,0.2,100.0,0.51,3.9,12.0,Low
2,0.0,65.5,-0.75,7.4,75.1,High
5,1.2,66.5,-0.69,9.0,69.3,Medium
1,2.1,37.6,-0.82,7.7,93.9,High
2,14.3,46.2,-0.93,8.5,100.0,High
11,6.2,78.1,-0.22,4.3,56.2,Medium
9,4.4,72.2,0.64,4.9,55.5,Medium
2,9.7,64.3,-0.44,5.6,95.1,High
5,8.4,60.5,-0.46,7.2,88.5,High
15,1.7,78.7,0.69,2.2,18.0,Low
16,1.2,87.6,0.23,1.1,19.0,Low
7,0.7,71.5,0.31,3.4,44.9,Medium
1,0.7,56.5,-1.0,9.4,88.4,High
4,9.2,43.7,-0.33,10.0,100.0,High
12,0.5,86.0,0.74,1.7,25.1,Low
10,0.0,87.1,0.34,3.3,22.5,Low
8,0.2,87.9,-0.23,6.7,46.1,Medium
3,11.1,52.4,-0.57,9.8,100.0,High
3,5.5,51.4,-0.01,8.1,86.9,High
5,1.8,66.5,-0.12,9.1,69.9,Medium
10,0.1,76.2,0.14,5.5,43.3,Medium
12,4.7,51.6,-0.34,3.3,60.5,Medium
15,0.0,98.0,0.48,0.6,10.4,Low
16,1.3,85.6,0.88,0.6,3.5,Low
1,0.7,66.1,-0.33,8.6,74.9,High
3,9.9,56.2,-1.0,6.3,100.0,High
2,1.8,30.7,-0.25,7.4,84.4,High
5,2.5,56.3,-0.23,10.0,73.8,High
10,4.2,69.8,0.38,4.3,51.0,Medium
5,0.2,73.6,-1.0,9.6,71.3,High
3,5.0,51.6,-0.16,9.2,87.5,High
3,4.1,50.1,-0.76,8.3,93.6,High
23,0.7,79.4,0.52,2.1,18.0,Low
9,3.6,69.0,0.34,3.9,49.9,Medium
11,0.0,92.4,0.75,2.1,19.4,Low
5,6.4,72.6,-0.24,6.8,80.9,High
6,3.6,73.9,-0.62,7.3,62.2,Medium
