student_id,semantic_fatigue_score,help_seeking_drop_pct,forum_sentiment,lms_logins,assignment_delay_days,peer_contagion_risk,final_burnout_score,risk_stage
73,0.229,56.5,0.24,12,1.7,11.68,34.1,Stage 1: Stable
74,0.179,92.6,-0.26,9,8.4,9.52,52.2,Stage 2: Drifting
75,0.562,33.5,-0.51,8,2.7,11.51,51.1,Stage 2: Drifting
76,0.07,17.6,-0.75,10,4.9,13.72,36.8,Stage 2: Drifting
77,0.671,66.4,-0.13,10,0.1,13.38,58.1,Stage 2: Drifting
78,0.106,19.1,-0.07,11,3.0,11.09,27.3,Stage 1: Stable
79,0.814,56.0,-0.17,9,2.1,10.46,52.5,Stage 2: Drifting
80,0.15,22.2,0.64,7,0.0,11.25,17.0,Stage 1: Stable
81,0.29,23.8,-0.12,14,2.2,9.96,27.8,Stage 1: Stable
82,0.168,8.6,-0.15,7,0.4,11.57,29.8,Stage 1: Stable
83,0.031,34.2,-0.35,11,2.0,13.07,27.6,Stage 1: Stable
84,0.227,94.8,0.85,13,4.1,11.2,43.8,Stage 2: Drifting
85,0.415,2.2,0.15,11,0.3,9.02,16.1,Stage 1: Stable
86,0.058,27.2,0.17,5,0.6,12.27,16.1,Stage 1: Stable
87,0.477,1.1,0.13,11,0.4,10.65,25.0,Stage 1: Stable
88,0.657,4.7,-0.64,5,0.6,10.29,32.8,Stage 1: Stable
89,0.106,29.7,-0.47,12,0.1,11.18,27.3,Stage 1: Stable
90,0.691,59.7,0.06,8,0.2,11.4,52.0,Stage 2: Drifting
91,0.324,43.5,0.35,13,0.6,13.96,32.3,Stage 1: Stable
92,0.242,13.7,-0.12,17,0.4,10.84,13.2,Stage 1: Stable
93,0.412,65.9,0.42,7,0.5,11.35,47.0,Stage 2: Drifting
94,0.292,56.8,0.1,15,2.4,12.76,43.7,Stage 2: Drifting
95,0.354,47.4,0.01,8,0.1,10.64,36.9,Stage 2: Drifting
96,0.31,69.6,-0.15,8,0.1,12.46,43.2,Stage 2: Drifting
97,0.583,62.6,0.13,7,4.1,9.16,56.3,Stage 2: Drifting
98,0.39,79.9,0.53,13,1.3,11.84,49.5,Stage 2: Drifting
99,0.37,41.8,0.79,7,0.9,8.89,31.6,Stage 1: Stable
100,0.277,1.8,-0.38,9,0.5,12.28,27.3,Stage 1: Stable
101,0.32,46.7,-0.56,16,1.9,10.54,36.7,Stage 2: Drifting
102,0.393,18.6,-0.27,13,0.1,12.69,34.9,Stage 1: Stable
103,0.324,15.4,-0.28,7,1.8,9.91,32.0,Stage 1: Stable
104,0.431,95.6,-0.19,11,0.2,13.73,54.9,Stage 2: Drifting
105,0.101,49.6,-0.26,14,1.3,10.68,29.8,Stage 1: Stable
106,0.349,56.6,0.52,8,3.2,10.49,41.8,Stage 2: Drifting
107,0.361,83.7,0.53,11,0.3,13.51,44.3,Stage 2: Drifting
108,0.46,74.4,0.07,14,0.0,10.31,43.7,Stage 2: Drifting
109,0.581,26.0,0.32,13,2.9,10.84,47.0,Stage 2: Drifting
110,0.586,93.2,0.14,12,0.7,10.66,59.6,Stage 2: Drifting
111,0.197,62.1,-0.28,13,0.0,12.57,42.1,Stage 2: Drifting
112,0.198,44.6,-0.03,9,0.4,14.42,41.0,Stage 2: Drifting
113,0.271,68.0,-0.64,17,1.1,10.68,49.5,Stage 2: Drifting
114,0.236,27.4,-0.54,15,0.5,13.71,31.9,Stage 1: Stable
115,0.296,47.3,0.17,13,0.3,8.89,28.9,Stage 1: Stable
116,0.313,48.2,0.35,5,2.3,10.68,39.2,Stage 2: Drifting
117,0.102,58.2,0.42,8,0.0,11.48,30.9,Stage 1: Stable
118,0.203,29.2,-1.0,13,1.3,8.26,40.1,Stage 2: Drifting
119,0.26,49.9,0.75,11,0.8,12.31,23.5,Stage 1: Stable
120,0.425,7.9,-0.34,9,1.7,10.31,36.3,Stage 2: Drifting
121,0.349,10.5,0.7,8,0.2,11.46,18.1,Stage 1: Stable
122,0.28,64.4,0.1,10,0.2,9.8,39.9,Stage 2: Drifting
123,0.154,49.8,0.86,7,0.1,12.26,19.2,Stage 1: Stable
124,0.357,72.7,-0.83,12,0.8,12.33,64.6,Stage 2: Drifting
125,0.033,87.3,-0.09,8,4.9,11.72,50.8,Stage 2: Drifting
126,0.263,13.2,0.69,6,7.1,7.38,24.4,Stage 1: Stable
127,0.343,87.1,0.39,9,0.4,11.86,48.4,Stage 2: Drifting
128,0.06,97.0,-0.78,4,1.5,12.26,58.2,Stage 2: Drifting
129,0.245,61.7,0.62,12,0.4,13.23,36.9,Stage 2: Drifting
130,0.107,58.5,-0.15,5,0.1,11.45,29.0,Stage 1: Stable
131,0.335,31.6,-0.52,10,0.3,12.57,43.6,Stage 2: Drifting
132,0.366,48.9,-0.44,12,2.2,9.71,42.4,Stage 2: Drifting
133,0.298,86.8,-0.33,12,1.9,12.57,54.5,Stage 2: Drifting
134,0.209,69.0,-0.54,12,2.1,9.4,34.9,Stage 1: Stable
135,0.272,56.7,-0.13,9,2.2,9.59,38.1,Stage 2: Drifting
136,0.288,81.8,0.06,9,2.4,12.22,47.2,Stage 2: Drifting
137,0.243,22.7,-0.15,12,1.2,10.51,30.8,Stage 1: Stable
138,0.451,2.6,-0.58,9,1.5,11.44,31.9,Stage 1: Stable
139,0.055,95.6,0.29,15,5.2,10.64,40.4,Stage 2: Drifting
140,0.176,28.5,0.49,10,1.9,13.6,27.6,Stage 1: Stable
141,0.221,18.1,-0.79,12,1.5,8.7,30.5,Stage 1: Stable
142,0.157,96.3,0.7,10,2.0,10.91,37.9,Stage 2: Drifting
143,0.168,22.8,0.19,7,1.1,8.23,20.8,Stage 1: Stable
144,0.136,82.3,0.91,5,1.2,10.36,23.5,Stage 1: Stable
145,0.121,21.7,-0.37,5,2.1,10.46,31.6,Stage 1: Stable
146,0.224,59.4,0.16,6,1.0,8.45,32.5,Stage 1: Stable
147,0.19,12.8,0.55,11,0.2,12.84,15.9,Stage 1: Stable
148,0.268,6.9,-0.38,13,1.6,11.23,33.1,Stage 1: Stable
149,0.23,33.3,1.0,12,2.6,12.47,21.3,Stage 1: Stable
150,0.167,17.5,-0.5,10,1.2,12.5,31.4,Stage 1: Stable
151,0.244,92.7,-0.61,7,0.3,11.53,52.7,Stage 2: Drifting
152,0.431,8.9,-0.26,13,2.5,13.8,53.1,Stage 2: Drifting
153,0.445,8.8,-0.44,16,0.7,9.2,33.5,Stage 1: Stable
154,0.305,91.9,0.13,14,5.3,13.67,54.0,Stage 2: Drifting
155,0.306,86.8,0.58,8,1.0,13.74,53.9,Stage 2: Drifting
156,0.452,64.1,-0.11,10,2.9,11.65,56.6,Stage 2: Drifting
157,0.646,36.8,0.03,4,0.3,11.91,42.8,Stage 2: Drifting
158,0.228,31.2,-1.0,5,0.5,14.11,43.6,Stage 2: Drifting
159,0.419,78.1,0.21,10,10.5,8.6,56.9,Stage 2: Drifting
160,0.319,14.2,-0.18,5,0.1,11.86,29.9,Stage 1: Stable
161,0.305,52.7,0.46,9,4.4,11.34,37.2,Stage 2: Drifting
162,0.097,82.8,0.44,10,0.6,10.81,31.0,Stage 1: Stable
163,0.368,1.2,-0.56,10,1.6,8.19,32.3,Stage 1: Stable
164,0.463,15.0,0.58,10,1.0,12.28,34.6,Stage 1: Stable
165,0.128,78.7,0.1,8,1.2,11.53,38.0,Stage 2: Drifting
166,0.423,46.1,0.71,11,1.5,12.8,39.3,Stage 2: Drifting
167,0.437,4.2,0.86,5,0.1,11.75,18.8,Stage 1: Stable
168,0.139,66.1,-0.23,5,2.9,11.18,45.0,Stage 2: Drifting
169,0.16,20.6,0.66,6,3.0,13.07,19.4,Stage 1: Stable
170,0.406,60.2,0.46,11,3.3,12.15,43.3,Stage 2: Drifting
171,0.126,22.5,-0.52,9,5.7,11.15,32.8,Stage 1: Stable
172,0.045,64.6,-0.14,8,4.0,9.41,33.4,Stage 1: Stable
173,0.49,72.8,0.33,6,8.4,10.68,63.3,Stage 2: Drifting
174,0.398,21.4,-0.33,10,2.6,9.55,33.7,Stage 1: Stable
175,0.477,56.5,0.38,11,0.3,9.15,32.7,Stage 1: Stable
176,0.343,20.4,-0.43,10,1.9,13.44,31.9,Stage 1: Stable
177,0.29,0.5,-0.39,18,0.8,13.0,19.8,Stage 1: Stable
178,0.293,36.8,-0.19,9,4.3,14.01,34.5,Stage 1: Stable
179,0.033,0.3,-0.76,13,1.8,12.01,24.9,Stage 1: Stable
180,0.523,56.1,0.09,11,2.3,13.14,36.2,Stage 2: Drifting
181,0.128,7.7,-0.09,13,1.2,11.51,23.3,Stage 1: Stable
182,0.259,22.1,-0.93,11,12.8,12.6,64.2,Stage 2: Drifting
183,0.242,78.6,-0.11,14,1.7,13.99,48.9,Stage 2: Drifting
184,0.161,2.6,-0.56,8,0.7,11.5,24.5,Stage 1: Stable
185,0.443,80.3,-0.58,6,2.6,11.42,58.4,Stage 2: Drifting
186,0.565,61.0,0.2,4,0.7,11.03,46.8,Stage 2: Drifting
187,0.158,27.2,-0.11,13,3.0,12.95,34.0,Stage 1: Stable
188,0.337,90.6,0.05,9,4.6,8.43,60.9,Stage 2: Drifting
189,0.102,93.7,0.04,7,8.0,10.48,64.9,Stage 2: Drifting
190,0.544,46.4,0.04,8,0.3,14.02,52.0,Stage 2: Drifting
191,0.259,52.3,-0.22,12,2.5,12.82,39.5,Stage 2: Drifting
192,0.143,16.6,-0.22,9,1.6,10.91,29.4,Stage 1: Stable
193,0.411,5.2,0.03,13,0.6,11.51,28.8,Stage 1: Stable
194,0.279,20.5,-0.18,13,0.1,10.43,23.7,Stage 1: Stable
195,0.333,10.5,0.44,11,1.0,9.78,16.1,Stage 1: Stable
196,0.453,57.8,0.59,9,1.5,10.07,36.2,Stage 2: Drifting
197,0.257,85.7,0.33,15,8.2,10.96,52.2,Stage 2: Drifting
198,0.248,65.4,-0.1,11,4.3,11.97,41.7,Stage 2: Drifting
199,0.088,98.4,0.0,12,0.4,9.57,45.0,Stage 2: Drifting
200,0.168,56.0,0.9,15,2.6,12.81,31.0,Stage 1: Stable
201,0.272,71.0,0.15,8,3.4,10.37,45.3,Stage 2: Drifting
202,0.042,33.5,0.27,13,0.5,13.42,27.7,Stage 1: Stable
203,0.192,65.1,-1.0,11,3.7,10.54,52.4,Stage 2: Drifting
204,0.327,67.6,0.6,4,3.9,12.89,49.0,Stage 2: Drifting
205,0.141,69.4,0.39,10,0.5,9.17,27.6,Stage 1: Stable
206,0.323,78.8,-0.61,15,1.6,13.54,52.4,Stage 2: Drifting
207,0.616,54.7,-1.0,5,0.1,13.04,59.6,Stage 2: Drifting
208,0.295,29.2,0.1,13,6.6,12.48,52.9,Stage 2: Drifting
209,0.235,87.3,-0.26,10,0.6,12.26,55.8,Stage 2: Drifting
210,0.289,29.7,0.53,7,0.5,10.53,29.4,Stage 1: Stable
211,0.139,85.6,-0.23,10,3.6,11.45,44.0,Stage 2: Drifting
212,0.124,66.9,0.33,9,1.1,10.09,33.5,Stage 1: Stable
213,0.542,60.7,0.12,11,2.4,10.7,52.9,Stage 2: Drifting
214,0.47,48.8,0.21,11,1.4,9.2,49.0,Stage 2: Drifting
215,0.295,47.2,-0.09,3,0.6,8.16,24.9,Stage 1: Stable
216,0.088,20.7,-0.1,2,0.8,12.14,27.3,Stage 1: Stable
217,0.225,93.2,1.0,9,1.9,10.21,40.4,Stage 2: Drifting
218,0.29,49.4,-0.2,9,1.1,11.19,41.2,Stage 2: Drifting
219,0.128,82.4,0.77,17,0.0,9.41,23.6,Stage 1: Stable
220,0.183,60.4,-0.35,9,0.9,13.69,43.9,Stage 2: Drifting
221,0.197,8.0,-0.25,12,0.9,12.39,27.1,Stage 1: Stable
222,0.247,61.3,0.19,6,0.1,9.15,34.1,Stage 1: Stable
223,0.584,57.7,-0.32,2,1.6,14.09,51.9,Stage 2: Drifting
224,0.562,69.2,0.92,8,3.1,10.82,41.4,Stage 2: Drifting
225,0.129,91.7,0.24,9,1.7,13.74,48.4,Stage 2: Drifting
226,0.675,37.5,-0.13,8,0.1,14.13,43.7,Stage 2: Drifting
227,0.195,41.0,0.61,8,1.9,13.33,25.9,Stage 1: Stable
228,0.245,2.8,0.21,9,0.1,11.49,17.0,Stage 1: Stable
229,0.135,45.9,0.28,8,1.8,12.13,31.5,Stage 1: Stable
230,0.228,34.0,0.22,10,1.6,9.37,32.6,Stage 1: Stable
231,0.47,30.2,-0.39,10,1.7,11.57,36.1,Stage 2: Drifting
232,0.084,40.2,-0.46,11,1.9,8.98,25.5,Stage 1: Stable
233,0.323,54.3,0.13,10,0.3,11.3,34.7,Stage 1: Stable
234,0.308,87.7,-0.17,16,1.2,11.19,41.9,Stage 2: Drifting
235,0.229,37.5,-0.45,13,1.4,12.9,41.3,Stage 2: Drifting
236,0.115,40.8,0.11,13,1.7,10.33,18.3,Stage 1: Stable
237,0.464,88.3,0.3,12,2.4,9.95,55.7,Stage 2: Drifting
238,0.008,27.9,-0.69,8,2.7,9.49,35.9,Stage 2: Drifting
239,0.275,76.9,0.59,14,0.2,9.16,36.2,Stage 2: Drifting
240,0.39,6.6,-0.37,8,3.3,9.92,24.6,Stage 1: Stable
241,0.218,50.1,0.33,3,1.0,9.93,30.7,Stage 1: Stable
242,0.5,92.9,-0.47,9,0.8,12.72,57.9,Stage 2: Drifting
243,0.077,60.3,0.68,6,1.4,13.59,24.0,Stage 1: Stable
244,0.047,68.3,0.62,7,3.5,11.76,37.4,Stage 2: Drifting
245,0.194,77.5,-0.01,8,2.0,11.05,48.1,Stage 2: Drifting
246,0.079,51.1,0.56,3,2.5,11.14,34.7,Stage 1: Stable
247,0.094,27.0,-0.24,9,0.9,11.47,25.2,Stage 1: Stable
248,0.368,38.8,-0.29,11,0.0,12.84,39.3,Stage 2: Drifting
249,0.439,76.1,0.04,8,3.0,12.33,62.2,Stage 2: Drifting
250,0.307,50.0,-0.23,9,0.5,14.12,52.1,Stage 2: Drifting
251,0.162,41.7,0.16,7,1.3,15.0,38.7,Stage 2: Drifting
252,0.25,29.5,-0.54,6,2.7,9.9,35.3,Stage 2: Drifting
253,0.603,19.9,-0.16,9,0.2,11.29,37.4,Stage 2: Drifting
254,0.285,37.9,-0.26,8,0.3,10.26,32.5,Stage 1: Stable
255,0.59,59.5,-0.01,18,2.3,12.15,55.9,Stage 2: Drifting
256,0.174,97.6,0.36,6,2.9,10.73,43.4,Stage 2: Drifting
257,0.213,29.3,0.05,8,0.0,11.29,27.6,Stage 1: Stable
258,0.476,2.4,0.03,13,1.0,13.64,32.0,Stage 1: Stable
259,0.219,48.4,-0.09,16,9.5,9.84,52.7,Stage 2: Drifting
260,0.666,14.1,-0.31,11,1.7,11.04,36.6,Stage 2: Drifting
261,0.352,67.4,-0.41,15,1.3,9.55,48.2,Stage 2: Drifting
262,0.113,0.8,0.08,11,0.3,10.5,22.8,Stage 1: Stable
263,0.221,68.0,-0.1,13,1.6,11.93,40.8,Stage 2: Drifting
264,0.36,84.4,-0.13,14,6.5,10.56,62.3,Stage 2: Drifting
265,0.242,59.4,0.09,16,1.5,15.14,33.0,Stage 1: Stable
266,0.218,71.8,0.24,7,2.2,10.81,42.1,Stage 2: Drifting
267,0.441,1.2,-0.63,8,2.6,15.22,41.3,Stage 2: Drifting
268,0.405,66.2,-0.03,5,1.0,11.96,46.9,Stage 2: Drifting
269,0.189,95.1,-0.93,13,1.7,12.77,63.4,Stage 2: Drifting
270,0.571,91.8,0.37,5,0.5,10.87,51.5,Stage 2: Drifting
271,0.314,58.2,0.99,10,0.7,8.22,32.5,Stage 1: Stable
272,0.076,47.6,0.46,10,1.8,16.03,27.2,Stage 1: Stable
273,0.274,7.1,-1.0,8,2.9,9.85,46.3,Stage 2: Drifting
274,0.521,3.8,0.16,6,0.0,11.55,27.8,Stage 1: Stable
275,0.456,23.0,-0.51,19,2.2,13.31,43.0,Stage 2: Drifting
276,0.319,32.5,0.43,7,4.6,8.17,25.2,Stage 1: Stable
277,0.228,7.8,-0.86,10,0.4,12.42,25.5,Stage 1: Stable
278,0.213,26.5,-0.79,12,0.2,12.9,37.3,Stage 2: Drifting
279,0.368,69.7,-0.16,15,2.6,6.76,41.9,Stage 2: Drifting
280,0.437,34.5,-0.31,12,5.9,12.07,55.4,Stage 2: Drifting
281,0.02,73.4,-0.15,14,2.4,10.49,40.8,Stage 2: Drifting
282,0.429,81.7,-0.18,10,0.3,10.33,43.0,Stage 2: Drifting
283,0.176,79.7,0.34,11,4.7,12.17,51.1,Stage 2: Drifting
284,0.104,28.8,0.07,8,1.9,10.11,24.1,Stage 1: Stable
285,0.555,78.4,-0.27,12,0.1,13.97,56.8,Stage 2: Drifting
286,0.055,63.2,0.25,7,2.8,12.13,41.1,Stage 2: Drifting
287,0.267,98.0,0.02,5,2.7,9.72,45.4,Stage 2: Drifting
288,0.337,26.4,-0.46,7,0.6,11.17,29.4,Stage 1: Stable
289,0.572,7.7,-0.27,11,2.1,7.36,35.4,Stage 2: Drifting
290,0.168,61.0,-0.57,8,1.8,11.82,36.0,Stage 2: Drifting
291,0.21,68.0,-0.11,11,1.2,10.72,37.9,Stage 2: Drifting
292,0.176,67.2,-0.17,21,0.0,14.42,46.4,Stage 2: Drifting
293,0.152,43.4,-0.22,12,1.8,8.7,31.5,Stage 1: Stable
294,0.122,9.1,0.34,7,2.7,12.14,13.6,Stage 1: Stable
295,0.233,45.9,0.34,12,6.1,10.15,40.6,Stage 2: Drifting
296,0.431,54.4,0.24,7,2.7,10.56,40.8,Stage 2: Drifting
297,0.166,92.1,0.54,8,4.5,9.39,42.1,Stage 2: Drifting
298,0.624,24.8,0.73,12,1.2,8.5,47.6,Stage 2: Drifting
299,0.327,29.2,-0.19,8,0.1,10.49,34.1,Stage 1: Stable
300,0.304,26.0,0.72,6,0.1,9.24,17.7,Stage 1: Stable
301,0.472,68.5,-0.17,8,1.4,8.9,52.6,Stage 2: Drifting
302,0.301,78.9,-0.66,17,0.9,13.4,53.1,Stage 2: Drifting
303,0.37,39.3,0.09,7,2.3,12.38,36.4,Stage 2: Drifting
304,0.271,16.0,-0.49,12,0.3,11.53,31.5,Stage 1: Stable
305,0.333,8.4,0.87,15,0.9,10.07,18.2,Stage 1: Stable
306,0.258,24.5,-0.07,7,6.4,8.82,42.1,Stage 2: Drifting
307,0.411,54.1,0.71,12,0.4,10.45,39.9,Stage 2: Drifting
308,0.374,11.7,0.04,8,2.4,13.63,38.7,Stage 2: Drifting
309,0.319,50.8,-0.15,13,1.3,12.92,46.1,Stage 2: Drifting
310,0.157,1.0,0.5,12,3.6,13.4,25.4,Stage 1: Stable
311,0.286,79.2,-0.66,10,1.0,7.8,54.7,Stage 2: Drifting
312,0.237,87.7,0.03,9,6.9,9.87,60.4,Stage 2: Drifting
313,0.351,80.4,-0.94,7,0.9,12.47,50.4,Stage 2: Drifting
314,0.428,65.7,-1.0,12,0.5,10.37,57.4,Stage 2: Drifting
315,0.115,77.3,-0.37,13,3.0,11.61,54.8,Stage 2: Drifting
316,0.268,67.1,0.71,11,0.4,11.19,29.1,Stage 1: Stable
317,0.297,75.9,0.85,15,2.0,14.64,39.9,Stage 2: Drifting
318,0.262,20.2,-0.11,8,0.5,9.31,25.0,Stage 1: Stable
319,0.411,7.7,-0.45,13,3.2,12.24,38.8,Stage 2: Drifting
320,0.626,63.6,0.45,8,0.4,11.35,42.8,Stage 2: Drifting
321,0.096,66.2,0.28,13,0.2,9.99,30.6,Stage 1: Stable
322,0.482,26.0,-0.98,7,0.1,11.08,45.9,Stage 2: Drifting
323,0.064,32.5,0.17,7,0.1,12.78,12.9,Stage 1: Stable
324,0.245,99.8,0.31,7,1.1,11.35,48.1,Stage 2: Drifting
325,0.52,65.4,0.31,13,3.6,9.17,46.6,Stage 2: Drifting
326,0.278,58.7,0.51,13,2.5,10.61,27.9,Stage 1: Stable
327,0.114,92.9,0.18,13,1.8,11.78,47.6,Stage 2: Drifting
328,0.015,37.3,-0.25,16,1.4,12.02,30.6,Stage 1: Stable
329,0.324,15.6,0.62,9,3.6,11.79,28.1,Stage 1: Stable
330,0.356,80.3,0.43,18,1.3,13.32,49.5,Stage 2: Drifting
331,0.132,92.1,0.88,9,0.1,12.13,36.7,Stage 2: Drifting
332,0.476,88.3,-0.38,12,4.0,13.43,62.3,Stage 2: Drifting
333,0.221,80.3,0.13,14,0.8,10.96,45.6,Stage 2: Drifting
334,0.412,21.1,-0.37,7,0.6,9.09,37.2,Stage 2: Drifting
335,0.073,29.9,-0.24,7,2.2,14.83,27.4,Stage 1: Stable
336,0.171,34.3,-0.28,14,0.2,10.17,33.2,Stage 1: Stable
337,0.047,13.7,0.09,6,0.6,11.07,15.5,Stage 1: Stable
338,0.644,82.2,-0.42,10,1.7,10.14,64.8,Stage 2: Drifting
339,0.363,53.8,-0.14,7,2.7,11.32,45.9,Stage 2: Drifting
340,0.276,86.0,-0.03,9,1.2,10.91,46.8,Stage 2: Drifting
341,0.169,17.5,0.95,10,0.5,13.08,17.6,Stage 1: Stable
342,0.356,57.1,-0.58,7,0.5,12.63,45.6,Stage 2: Drifting
343,0.378,97.0,-0.55,9,0.9,15.16,68.3,Stage 2: Drifting
344,0.203,17.5,0.1,12,0.5,10.5,28.1,Stage 1: Stable
345,0.173,87.1,0.27,12,1.2,11.55,39.9,Stage 2: Drifting
346,0.453,4.0,-0.45,8,0.5,9.36,28.9,Stage 1: Stable
347,0.187,15.4,-1.0,13,3.5,12.85,42.0,Stage 2: Drifting
348,0.181,91.1,-1.0,10,0.1,8.43,53.9,Stage 2: Drifting
349,0.323,16.1,-0.02,7,2.6,17.17,43.7,Stage 2: Drifting
350,0.36,38.0,0.38,13,2.8,9.98,25.7,Stage 1: Stable
351,0.36,56.6,-0.09,4,3.5,15.64,44.2,Stage 2: Drifting
352,0.45,3.0,0.37,16,1.9,9.95,24.0,Stage 1: Stable
353,0.069,88.5,-0.44,12,9.2,7.44,59.8,Stage 2: Drifting
